"method_id","method_name","source","source_line","plot_name","image_path","status","explanation","code","error"
"subset_regression","Subset Regression","Current App",NA,"Model trade-off","images/app_subset_regression_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, points represent individual observations. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"subset_regression","Subset Regression","Current App",NA,"Selected coefficients","images/app_subset_regression_02.png","success","This chart provides visual evidence for the current case-study step. In this figure, bar height shows the size of each value. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"anova","ANOVA","Current App",NA,"Group distributions","images/app_anova_01.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, the shapes summarize each distribution and its spread. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"anova","ANOVA","Current App",NA,"Tukey comparisons","images/app_anova_02.png","success","This chart compares groups, regimes, or fitted relationships. In this figure, points represent individual observations. Compare centers and uncertainty; visible overlap means the evidence is weaker.","Current App plot from R/examples_complete.R",""
"ancova","ANCOVA","Current App",NA,"Slope assumption","images/app_ancova_01.png","success","This chart compares groups, regimes, or fitted relationships. In this figure, points represent individual observations; lines show trends, fitted paths, or reference levels. Compare centers and uncertainty; visible overlap means the evidence is weaker.","Current App plot from R/examples_complete.R",""
"ancova","ANCOVA","Current App",NA,"Residual diagnostics","images/app_ancova_02.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, points represent individual observations. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"manova","MANOVA","Current App",NA,"Joint distribution","images/app_manova_01.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, points represent individual observations; lines show trends, fitted paths, or reference levels. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"manova","MANOVA","Current App",NA,"Multivariate outliers","images/app_manova_02.png","success","This chart provides visual evidence for the current case-study step. In this figure, points represent individual observations. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"poisson_glm","Poisson GLM","Current App",NA,"Observed vs predicted","images/app_poisson_glm_01.png","success","This chart asks how closely model results follow the observed data. In this figure, points represent individual observations. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
"poisson_glm","Poisson GLM","Current App",NA,"Residual diagnostics","images/app_poisson_glm_02.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, points represent individual observations. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"logistic_regression","Logistic Regression","Current App",NA,"Probability separation","images/app_logistic_regression_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, the shapes summarize each distribution and its spread. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"logistic_regression","Logistic Regression","Current App",NA,"Confusion matrix","images/app_logistic_regression_02.png","success","This chart asks where the classifier is correct and where it makes mistakes. In this figure, colored cells encode the value at each row-column combination. Diagonal cells are correct classifications; off-diagonal cells are the two error types.","Current App plot from R/examples_complete.R",""
"logistic_regression","Logistic Regression","Current App",NA,"ROC curve","images/app_logistic_regression_03.png","success","This chart compares classification quality across all probability thresholds. In this figure, lines show trends, fitted paths, or reference levels. A curve closer to the upper-left corner means better ranking with fewer false positives.","Current App plot from R/examples_complete.R",""
"confusion_matrix","Confusion Matrix","Current App",NA,"Probability separation","images/app_confusion_matrix_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, the shapes summarize each distribution and its spread. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"confusion_matrix","Confusion Matrix","Current App",NA,"Confusion matrix","images/app_confusion_matrix_02.png","success","This chart asks where the classifier is correct and where it makes mistakes. In this figure, colored cells encode the value at each row-column combination. Diagonal cells are correct classifications; off-diagonal cells are the two error types.","Current App plot from R/examples_complete.R",""
"confusion_matrix","Confusion Matrix","Current App",NA,"ROC curve","images/app_confusion_matrix_03.png","success","This chart compares classification quality across all probability thresholds. In this figure, lines show trends, fitted paths, or reference levels. A curve closer to the upper-left corner means better ranking with fewer false positives.","Current App plot from R/examples_complete.R",""
"roc","ROC","Current App",NA,"Probability separation","images/app_roc_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, the shapes summarize each distribution and its spread. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"roc","ROC","Current App",NA,"Confusion matrix","images/app_roc_02.png","success","This chart asks where the classifier is correct and where it makes mistakes. In this figure, colored cells encode the value at each row-column combination. Diagonal cells are correct classifications; off-diagonal cells are the two error types.","Current App plot from R/examples_complete.R",""
"roc","ROC","Current App",NA,"ROC curve","images/app_roc_03.png","success","This chart compares classification quality across all probability thresholds. In this figure, lines show trends, fitted paths, or reference levels. A curve closer to the upper-left corner means better ranking with fewer false positives.","Current App plot from R/examples_complete.R",""
"arima","ARIMA","Current App",NA,"Series and fit","images/app_arima_01.png","success","This chart asks how closely model results follow the observed data. In this figure, lines show trends, fitted paths, or reference levels. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
"arima","ARIMA","Current App",NA,"Series ACF","images/app_arima_02.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"arima","ARIMA","Current App",NA,"Residual PACF","images/app_arima_03.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"arima","ARIMA","Current App",NA,"Forecast","images/app_arima_04.png","success","This chart asks how the series may develop beyond the observed sample. In this figure, lines show trends, fitted paths, or reference levels; the shaded area shows a range, contribution, or uncertainty. Read the central path as the forecast and any surrounding band as uncertainty.","Current App plot from R/examples_complete.R",""
"sarima","SARIMA","Current App",NA,"Series and fit","images/app_sarima_01.png","success","This chart asks how closely model results follow the observed data. In this figure, lines show trends, fitted paths, or reference levels. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
"sarima","SARIMA","Current App",NA,"Series ACF","images/app_sarima_02.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"sarima","SARIMA","Current App",NA,"Residual PACF","images/app_sarima_03.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"sarima","SARIMA","Current App",NA,"Forecast","images/app_sarima_04.png","success","This chart asks how the series may develop beyond the observed sample. In this figure, lines show trends, fitted paths, or reference levels; the shaded area shows a range, contribution, or uncertainty. Read the central path as the forecast and any surrounding band as uncertainty.","Current App plot from R/examples_complete.R",""
"garch","ARCH / GARCH","Current App",NA,"Conditional volatility","images/app_garch_01.png","success","This chart asks when market uncertainty rises and how long it remains elevated. In this figure, lines show trends, fitted paths, or reference levels. Slow declines after large shocks indicate persistent volatility.","Current App plot from R/examples_complete.R",""
"garch","ARCH / GARCH","Current App",NA,"Squared residual ACF before GARCH","images/app_garch_02.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"garch","ARCH / GARCH","Current App",NA,"Squared residual ACF after GARCH","images/app_garch_03.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, bar height shows the size of each value. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"var","VAR","Current App",NA,"VAR fitted vs actual","images/app_var_01.png","success","This chart asks how closely model results follow the observed data. In this figure, points represent individual observations. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
"var","VAR","Current App",NA,"Granger strength","images/app_var_02.png","success","This chart provides visual evidence for the current case-study step. In this figure, bar height shows the size of each value. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"var","VAR","Current App",NA,"Residual correlation","images/app_var_03.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, colored cells encode the value at each row-column combination. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"granger","Granger Causality","Current App",NA,"VAR fitted vs actual","images/app_granger_01.png","success","This chart asks how closely model results follow the observed data. In this figure, points represent individual observations. Closer agreement indicates better fit, while repeated gaps reveal model weakness.","Current App plot from R/examples_complete.R",""
"granger","Granger Causality","Current App",NA,"Granger strength","images/app_granger_02.png","success","This chart provides visual evidence for the current case-study step. In this figure, bar height shows the size of each value. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"granger","Granger Causality","Current App",NA,"Residual correlation","images/app_granger_03.png","success","This chart checks whether meaningful structure remains after modeling. In this figure, colored cells encode the value at each row-column combination. Patterns or bars beyond reference limits suggest the model has not explained all dependence.","Current App plot from R/examples_complete.R",""
"efa","EFA","Current App",NA,"Loading heatmap","images/app_efa_01.png","success","This chart compares the direction and strength of relationships across variables. In this figure, colored cells encode the value at each row-column combination. Stronger colors or larger absolute values indicate stronger relationships.","Current App plot from R/examples_complete.R",""
"efa","EFA","Current App",NA,"Factor scores","images/app_efa_02.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, points represent individual observations. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"efa","EFA","Current App",NA,"Input correlation","images/app_efa_03.png","success","This chart compares the direction and strength of relationships across variables. In this figure, colored cells encode the value at each row-column combination. Stronger colors or larger absolute values indicate stronger relationships.","Current App plot from R/examples_complete.R",""
"pca","PCA","Current App",NA,"Scree and cumulative variance","images/app_pca_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, points represent individual observations; lines show trends, fitted paths, or reference levels; bar height shows the size of each value. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"pca","PCA","Current App",NA,"PCA score map","images/app_pca_02.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, points represent individual observations. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"pca","PCA","Current App",NA,"Loading heatmap","images/app_pca_03.png","success","This chart compares the direction and strength of relationships across variables. In this figure, colored cells encode the value at each row-column combination. Stronger colors or larger absolute values indicate stronger relationships.","Current App plot from R/examples_complete.R",""
"rolling_pca","Rolling PCA","Current App",NA,"Rolling variance","images/app_rolling_pca_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, lines show trends, fitted paths, or reference levels. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"rolling_pca","Rolling PCA","Current App",NA,"Rolling loading","images/app_rolling_pca_02.png","success","This chart compares the direction and strength of relationships across variables. In this figure, lines show trends, fitted paths, or reference levels. Stronger colors or larger absolute values indicate stronger relationships.","Current App plot from R/examples_complete.R",""
"cluster","Cluster-related Examples","Current App",NA,"Clusters in PCA space","images/app_cluster_01.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, points represent individual observations. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"cluster","Cluster-related Examples","Current App",NA,"Cluster sizes","images/app_cluster_02.png","success","This chart asks whether observations form distinct groups or overlapping regimes. In this figure, bar height shows the size of each value. Separation supports different group labels; overlap means the distinction is weaker.","Current App plot from R/examples_complete.R",""
"power_analysis","Power Analysis","Current App",NA,"Power curves","images/app_power_analysis_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, lines show trends, fitted paths, or reference levels. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"bayesian_scenario","Bayesian Scenario Analysis","Current App",NA,"Posterior probabilities","images/app_bayesian_scenario_01.png","success","This chart provides visual evidence for the current case-study step. In this figure, the shaded area shows a range, contribution, or uncertainty. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"bayesian_scenario","Bayesian Scenario Analysis","Current App",NA,"Expected vs realized","images/app_bayesian_scenario_02.png","success","This chart provides visual evidence for the current case-study step. In this figure, points represent individual observations; lines show trends, fitted paths, or reference levels. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
"bayesian_scenario","Bayesian Scenario Analysis","Current App",NA,"Illustrative cumulative result","images/app_bayesian_scenario_03.png","success","This chart provides visual evidence for the current case-study step. In this figure, lines show trends, fitted paths, or reference levels. Use it together with the related result table and statistical tests.","Current App plot from R/examples_complete.R",""
